Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_Y,RMSE_Z
SSA1,VERAO,24,2020-01-22,0.10084438712869609,0.08441567681496333,0.028008149426340223
SSA1,VERAO,25,2020-01-22,0.09556105001379393,0.09334882601502893,0.03813829151147991
SSA1,VERAO,26,2020-01-29,0.10778257981930725,0.09235669227214001,0.038563551560504485
SSA1,VERAO,27,2020-01-29,0.0883736119204261,0.0800403815819886,0.03098517023199683
SSA1,VERAO,28,2020-01-29,0.10454482791097493,0.09780708190806874,0.03281488404278989
SSA1,VERAO,29,2020-01-29,0.10787581420281067,0.10364339043258192,0.03849962104136988
SSA1,VERAO,30,2020-01-29,0.10164731911986914,0.0732604419951064,0.03058529567875545
SSA1,VERAO,31,2020-01-29,0.09881719249866618,0.08556801995297104,0.028776189623109287
SAGA,VERAO,1,2020-01-01,0.09410280168863831,0.17121958722009334,0.03287912035854132
SAGA,VERAO,2,2020-01-01,0.10090220705932997,0.1733114623511422,0.03008684386251953
SAGA,VERAO,3,2020-01-01,0.07781316720273025,0.16398662055142596,0.030356354959930165
SAGA,VERAO,4,2020-01-01,0.07813018217054711,0.1643783570380579,0.03157415395403982
SAGA,VERAO,5,2020-01-08,0.11024629119639746,0.26168460694237233,0.05038209695663948
SAGA,VERAO,6,2020-01-08,0.07546027420800794,0.14884222813365222,0.03387250470517887
SAGA,VERAO,7,2020-01-08,0.08300374541887308,0.19006308483156037,0.03816187558174443
SAGA,VERAO,8,2020-01-08,0.0884226571527867,0.16776602931957,0.03724076354541953
SAGA,VERAO,9,2020-01-08,0.09210858482350151,0.16177926410315496,0.03618721944817278
SAGA,VERAO,10,2020-01-08,0.07079574186864289,0.16418326468992533,0.0338608485816226
SAGA,VERAO,11,2020-01-08,0.08422969684889653,0.15688011814362832,0.03143679895399432
SAGA,VERAO,12,2020-01-15,0.08225061129253908,0.16258931541300625,0.037609654673421346
SAGA,VERAO,13,2020-01-15,0.07827380625671383,0.1490231241813907,0.03355882246609056
SAGA,VERAO,14,2020-01-15,0.0541632463118253,0.15828730227551796,0.037329332353234775
SAGA,VERAO,15,2020-01-15,0.056481599499475156,0.1460315241555211,0.03645624187347733
SAGA,VERAO,16,2020-01-15,0.07219837032564679,0.19362015821697295,0.0359095712200779
SAGA,VERAO,17,2020-01-15,0.08238290198781922,0.1588526771680715,0.03444455086635026
SAGA,VERAO,18,2020-01-15,0.06433556082661096,0.14012563262392816,0.032574623686112004
SAGA,VERAO,19,2020-01-22,0.05587180771772298,0.1580310837385783,0.03608420601330431
SAGA,VERAO,20,2020-01-22,0.05461764076495578,0.17602965974843945,0.04171250474476641
SAGA,VERAO,21,2020-01-22,0.05313840920726395,0.14834033942550173,0.03187123769734228
SAGA,VERAO,22,2020-01-22,0.049269541999096264,0.15363870079674868,0.040265955602159585
SAGA,VERAO,23,2020-01-22,0.054181870141796776,0.15795927949412447,0.03222524940642004
SAGA,VERAO,24,2020-01-22,0.05945451241134251,0.18226772361009627,0.03607271329473634
SAGA,VERAO,25,2020-01-22,0.08410670346807514,0.18202625587107787,0.04582526839649432
SAGA,VERAO,26,2020-01-29,0.0847361219057156,0.19926185702181193,0.04793720089000309
SAGA,VERAO,27,2020-01-29,0.06096021564064425,0.1955335446863064,0.03970189970618027
SAGA,VERAO,28,2020-01-29,0.057079370329477894,0.1851075966247986,0.041940923316167236
SAGA,VERAO,29,2020-01-29,0.0617118953457111,0.17415110459500166,0.035362997421702555
SAGA,VERAO,30,2020-01-29,0.06272606458510575,0.1608696798084414,0.03141002317025738
SAGA,VERAO,31,2020-01-29,0.05731239297178452,0.15190083264617796,0.03928442236891575
POLI,VERAO,1,2020-01-01,0.1251797074581518,0.1279297521591135,0.05930315841456399
POLI,VERAO,2,2020-01-01,0.13090742830788213,0.14138911377036825,0.06293388867040856
POLI,VERAO,3,2020-01-01,0.11734475273000383,0.12584978904064925,0.05552561180137505
POLI,VERAO,4,2020-01-01,0.12144955848494496,0.12727176652352692,0.053372807614837536
POLI,VERAO,5,2020-01-08,0.11432448553895581,0.13258499810784038,0.06307956921411514
POLI,VERAO,6,2020-01-08,0.10499522759602185,0.11095639256499046,0.06077863541131123
