Mes_Pasta,Estacao,Arquivo,DOY,Data,Mes_Arquivo
VERAO,PERC,perc029_delays.txt,29,2020-01-29,January
VERAO,PERC,perc030_delays.txt,30,2020-01-30,January
VERAO,PERC,perc028_delays.txt,28,2020-01-28,January
VERAO,PERC,perc022_delays.txt,22,2020-01-22,January
VERAO,PERC,perc016_delays.txt,16,2020-01-16,January
VERAO,PERC,perc001_delays.txt,1,2020-01-01,January
VERAO,PERC,perc023_delays.txt,23,2020-01-23,January
VERAO,PERC,perc024_delays.txt,24,2020-01-24,January
VERAO,PERC,perc021_delays.txt,21,2020-01-21,January
VERAO,PERC,perc015_delays.txt,15,2020-01-15,January
VERAO,PERC,perc012_delays.txt,12,2020-01-12,January
VERAO,PERC,perc007_delays.txt,7,2020-01-07,January
VERAO,PERC,perc031_delays.txt,31,2020-01-31,January
VERAO,PERC,perc020_delays.txt,20,2020-01-20,January
VERAO,PERC,perc010_delays.txt,10,2020-01-10,January
VERAO,PERC,perc003_delays.txt,3,2020-01-03,January
VERAO,PERC,perc004_delays.txt,4,2020-01-04,January
VERAO,PERC,perc026_delays.txt,26,2020-01-26,January
VERAO,PERC,perc025_delays.txt,25,2020-01-25,January
VERAO,PERC,perc019_delays.txt,19,2020-01-19,January
VERAO,PERC,perc014_delays.txt,14,2020-01-14,January
VERAO,PERC,perc008_delays.txt,8,2020-01-08,January
VERAO,PERC,perc005_delays.txt,5,2020-01-05,January
VERAO,PERC,perc017_delays.txt,17,2020-01-17,January
VERAO,PERC,perc013_delays.txt,13,2020-01-13,January
VERAO,PERC,perc027_delays.txt,27,2020-01-27,January
VERAO,ONRJ,onrj030_delays.txt,30,2020-01-30,January
VERAO,ONRJ,onrj010_delays.txt,10,2020-01-10,January
VERAO,ONRJ,onrj018_delays.txt,18,2020-01-18,January
VERAO,ONRJ,onrj003_delays.txt,3,2020-01-03,January
VERAO,ONRJ,onrj024_delays.txt,24,2020-01-24,January
VERAO,ONRJ,onrj016_delays.txt,16,2020-01-16,January
VERAO,ONRJ,onrj005_delays.txt,5,2020-01-05,January
VERAO,ONRJ,onrj028_delays.txt,28,2020-01-28,January
VERAO,ONRJ,onrj023_delays.txt,23,2020-01-23,January
VERAO,ONRJ,onrj006_delays.txt,6,2020-01-06,January
VERAO,ONRJ,onrj001_delays.txt,1,2020-01-01,January
VERAO,ONRJ,onrj017_delays.txt,17,2020-01-17,January
VERAO,ONRJ,onrj012_delays.txt,12,2020-01-12,January
VERAO,ONRJ,onrj029_delays.txt,29,2020-01-29,January
VERAO,ONRJ,onrj014_delays.txt,14,2020-01-14,January
VERAO,ONRJ,onrj002_delays.txt,2,2020-01-02,January
VERAO,ONRJ,onrj021_delays.txt,21,2020-01-21,January
VERAO,ONRJ,onrj022_delays.txt,22,2020-01-22,January
VERAO,ONRJ,onrj026_delays.txt,26,2020-01-26,January
VERAO,ONRJ,onrj019_delays.txt,19,2020-01-19,January
VERAO,ONRJ,onrj013_delays.txt,13,2020-01-13,January
VERAO,ONRJ,onrj027_delays.txt,27,2020-01-27,January
VERAO,ONRJ,onrj011_delays.txt,11,2020-01-11,January
VERAO,ONRJ,onrj015_delays.txt,15,2020-01-15,January
VERAO,ONRJ,onrj020_delays.txt,20,2020-01-20,January
VERAO,ONRJ,onrj008_delays.txt,8,2020-01-08,January
VERAO,ONRJ,onrj009_delays.txt,9,2020-01-09,January
VERAO,ONRJ,onrj031_delays.txt,31,2020-01-31,January
VERAO,ONRJ,onrj025_delays.txt,25,2020-01-25,January
VERAO,ONRJ,onrj004_delays.txt,4,2020-01-04,January
VERAO,ONRJ,onrj007_delays.txt,7,2020-01-07,January
VERAO,SSA1,ssa1016_delays.txt,16,2020-01-16,January
VERAO,SSA1,ssa1007_delays.txt,7,2020-01-07,January
VERAO,SSA1,ssa1003_delays.txt,3,2020-01-03,January
VERAO,SSA1,ssa1010_delays.txt,10,2020-01-10,January
VERAO,SSA1,ssa1027_delays.txt,27,2020-01-27,January
VERAO,SSA1,ssa1011_delays.txt,11,2020-01-11,January
VERAO,SSA1,ssa1012_delays.txt,12,2020-01-12,January
VERAO,SSA1,ssa1024_delays.txt,24,2020-01-24,January
VERAO,SSA1,ssa1015_delays.txt,15,2020-01-15,January
VERAO,SSA1,ssa1025_delays.txt,25,2020-01-25,January
VERAO,SSA1,ssa1023_delays.txt,23,2020-01-23,January
VERAO,SSA1,ssa1031_delays.txt,31,2020-01-31,January
VERAO,SSA1,ssa1021_delays.txt,21,2020-01-21,January
VERAO,SSA1,ssa1001_delays.txt,1,2020-01-01,January
VERAO,SSA1,ssa1006_delays.txt,6,2020-01-06,January
VERAO,SSA1,ssa1014_delays.txt,14,2020-01-14,January
VERAO,SSA1,ssa1020_delays.txt,20,2020-01-20,January
VERAO,SSA1,ssa1030_delays.txt,30,2020-01-30,January
VERAO,SSA1,ssa1022_delays.txt,22,2020-01-22,January
VERAO,SSA1,ssa1017_delays.txt,17,2020-01-17,January
